Question,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4,Answer 5,#5,Answer 6,#6,Answer 7,#7
On A Resume What Might A Person Claim They Can Do Quickly?,Type,53.0,Learn,21.0,Finish Tasks,12,,,,,,,,
Name Something That Parent Of A Baby Is Constantly Listening For,Crying,62.0,Breathing,32.0,First Words,5,,,,,,,,
Other Than Boxing Name A Sport In Which Youre Likely To See Athletes Fighting,Hockey,62.0,Wrestling,28.0,Football,8,,,,,,,,
Name Something Nice You Get Sick Of Saying During The Holidays,Merry Christmas,51.0,Thank You,22.0,Great To See You,16,,,,,,,,
Name A Place Where People Wear Very Little Clothing During The Winter,Vacation,64.0,Home,13.0,Gym,9,,,,,,,,
Name A Phrase That Often Appears In ChildrenS Stories,Once Upon A Time,79.0,The End,10.0,Happily Ever After,9,,,,,,,,
What Do People Say At Halloween That Would Be Inappropriate To Hear At Christmas?,Trick Or Treat,67.0,Boo,28.0,Happy Halloween,4,,,,,,,,
Name A Drink Usually Associated With Christmas,Egg Nog,53.0,Cider,21.0,Hot Chocolate,16,,,,,,,,
Name Something Tha Can Be Pumped,Gas,58.0,Tire,24.0,Iron,8,,,,,,,,
Other Than Illness Name An Acceptable Excuse For Missing Work.,Funeral,61.0,Car Trouble,30.0,Jury Duty,8,,,,,,,,
Who In Your Life Is Most Likely To Brad About You?,Parent,60.0,Partner,24.0,Kids,4,,,,,,,,
We Asked 100 Wives: Name A Place Where You Wouldnt Want Your Husband To Go With His Buddies.,Gentleman’s Club,65.0,The Bar,31.0,Las Vegas,3,,,,,,,,
Name A Crime That Some People Probably Commit Every Day.,Speeding,62.0,Jaywalking,18.0,Littering,18,,,,,,,,
Name Something A Grown Woman Might Lie About But A Young Girl Wouldnt,Age,61.0,Weight,28.0,Love Life,9,,,,,,,,
Name A Decoration You Might Find Inside A Mexican Restaurant,Sombrero,58.0,Pinata,22.0,Maracas,6,,,,,,,,
What Might You See Inside A Bag Of Chips That Would Make You Stop Eating Them?,Hair,63.0,Bug,15.0,Mold,9,,,,,,,,
Name Something Tourists Point Up At,Tall Buildings,68.0,Statues/ Monuments,14.0,Mountains,6,,,,,,,,
What Do Some People Do Immediately After Breaking Up And Others Take Time To Do?,Date Again,55.0,Mourn,29.0,Move On,11,,,,,,,,
Name Something Considerate That People Often Do For You In An Elevator,Hold Door,51.0,Push Button,28.0,Move Over,16,,,,,,,,
If You Live In The Country Name A Type Of Lights That You Dont See At Night.,Street Lights,64.0,Traffic,21.0,Neon Light,10,,,,,,,,
Name Something You Might Add Milk To In The Morning.,Cold Cereal,67.0,Coffee,17.0,Oatmeal,3,,,,,,,,
Name Something Children Wear But Adults Dont,Diaper,58.0,Bib,16.0,Overalls,12,,,,,,,,
Name Something That A Demanding Bride May Ask Her Maid-Of_Honor To do That Could End Their Friendship.,Wear An Ugly Dress,46.0,Lie For Her,32.0,Pay For Dress,17,,,,,,,,
Name A Profession Where You Might Have A Dog For A Sidekick,Police Officer,52.0,Firefighter,26.0,Performer,9,,,,,,,,
We Asked 100 Single People: Who In Your Life Gives You The Most Pressure To Settle Down and Marry?,Mom,55.0,Friends,24.0,Person I’m Dating,8,,,,,,,,
Name A Form Of Communication That Few People Use Anymore.,Written Letters,55.0,Telegraph,31.0,Phone,6,,,,,,,,
Name A Profession That Has To Worry About Getting Sued,Doctor,54.0,Lawyer,31.0,Police Officer,8,,,,,,,,
Name Something You Need To Eat Before It Melts.,Ice Cream,56.0,Chocolate,24.0,Popsicle,12,,,,,,,,
Name A prize You May Win From A Carnival Game.,Stuffed Animal,75.0,Gold Fish,11.0,Poster,6,,,,,,,,
Name Something Drivers Often Do If They Spot A Police Car Up Ahead,Slow Down,71.0,Move Over,12.0,Put Seatbelt On,4,,,,,,,,
Name An Animal That You See More Of In The City.,Cat,63.0,Pigeon,18.0,Rat,15,,,,,,,,
Name Something Kids Might Collect From The Beach,Shells,68.0,Sand,15.0,Rocks,15,,,,,,,,
Name Something It Would Be Rude Not To Do When Being Introduced To A Stranger,Shake Hands,56.0,Smile,23.0,Say Hello,9,,,,,,,,
Name A Skill Thats More Important For Teens To Learn Today Than Previously,Computer Skills,63.0,Driving,30.0,Second Language,3,,,,,,,,
Name Something People Wear To Avoid A Sunburn,Sunscreen,55.0,Hat,33.0,Shirt/Coverup,5,,,,,,,,
Name A Specific Person Youd Ask To Help You Move If You Were In A Jam.,Friend,42.0,Parent,38.0,Sibling,18,,,,,,,,
Name Something Parents Of Twins Do That Makes Their Children Seem Even More Similar.,Dress Alike,67.0,Hair Style,21.0,Similar Names,11,,,,,,,,
Other Than To Buy Books Why Might Someone Go To A Bookstore?,Read,58.0,Coffee,31.0,Socialize,5,,,,,,,,
What Do You Find Out About A Town By Reading Signs On The Side Of The Road?,Population,60.0,Town Name,30.0,Speed Limit,8,,,,,,,,
Name A Profession Thats Only Successful If People Are Laughing At Them.,Comedian,63.0,Clown,31.0,Sports Mascot,3,,,,,,,,
Tell Me A Reason People Give For Wearing Black.,Funeral,59.0,Slimming,27.0,Style,12,,,,,,,,
If An Alien Gave You A Guided Tour Of Outer Space What Would Be Must-See Stops?,Other Planets,50.0,Moon,22.0,Sun,16,,,,,,,,
What Might A Parent Videotape Their Child Doing Around The Christmas Holiday?,Opening Presents,65.0,Being In Pageant,27.0,Visiting Santa,5,,,,,,,,
What Is A Color That You Would See On A Countrys Flag?,Red,70.0,Blue,19.0,White,3,,,,,,,,
Name A Song That Has “Christmas” In The Title,White Christmas,55.0,Oh Christmas Tree,21.0,Wish You Merry Xmas,18,,,,,,,,
Name Something Santa Does That You wouldnt want Your House guest To Do.,Come Down Chimney,59.0,Eat Your Coookies,24.0,Arrive Late at Night,13,,,,,,,,
Other Than Displays Of Affection Name Something You Wish Couples Wouldnt Do In Public.,Fight,68.0,Feed Each Other,13.0,Baby Talk,5,,,,,,,,
Name A Reason You Might Dread Going To A New Years Party At A Club.,Crowded,53.0,No Date,21.0,Don’t Drink,18,,,,,,,,
Which Color Would You Be Surprised To See A Bride Wearing On Her Wedding Day?,Black,74.0,Red,21.0,Green,4,,,,,,,,
Name Something YouD Hate To Find Floating In Your Coffee,Bug,54.0,Hair,29.0,Food Crumb,8,,,,,,,,
Name Something Santa Does That You Wouldnt Want Your House Guests To Do.,Come Down Chimney,59.0,Eat Your Cookies,24.0,Arrive Late At Nite,13,,,,,,,,
Name A Specific Night Of The Year That You Hope To Be Kissed.,New Year Eve’s,48.0,Valentine’s,25.0,Christmas,13,,,,,,,,
Name Something That You Can Get For Free At A Casino.,Drinks,49.0,Food,33.0,Entertainment,5,,,,,,,,
Name A Person Who Youd Never Trust to Set You Up On A Blind Date,Mother,66.0,Sibling,20.0,Ex,9,,,,,,,,
If You See Pink Frosting On A Cake What Flavor Would You Expect It To Be,Strawberry,73.0,Cherry,16.0,Raspberry,10,,,,,,,,
Name Something Youd Take Camping But Be Arrested For If You Brought It To A Bank.,Gun,49.0,Hatchet,34.0,Alcohol,17,,,,,,,,
Before Visiting A New City Name Something For Which You Might Get A Recommendation.,Places To Stay,56.0,Restaurant,24.0,Attraction,7,,,,,,,,
Name A Reason Why Its Hard To Slow Dance With A Ghost.,Can’t See Them,66.0,Nothing To Hold,17.0,Can’t Lead,16,,,,,,,,
Name A Decoration You Might Find Inside A Mexican Restaurant.,Sombrero,58.0,Pinata,22.0,Maracas,6,,,,,,,,
Name Something A Dad Would Look Silly Borrowing From His Child At The Bowling Alley.,Shoes,64.0,Lightweight Ball,19.0,Money,15,,,,,,,,
Name A Famous Robert Who Many Women Consider Handsome.,Robert Redford,51.0,Robert De Niro,34.0,Robert Kennedy,4,,,,,,,,
Name An Article Of Clothing That Most People Have 10 Of.,Pairs Of Shoes,57.0,Pairs Of Socks,21.0,Shirts,17,,,,,,,,
Name Something A Man Might Do At The Gym To Impress A Woman.,Lift Weights,55.0,Flex,24.0,Take Off Shirt,10,,,,,,,,
Name Something People Wait In Line For On Hot Days,Ice Cream,66.0,Cold Drinks,23.0,Water Park,10,,,,,,,,
Name Something A Contestant In A Beauty Pageant Might Wear,Bathing Suit,56.0,Gown,39.0,Makeup,2,,,,,,,,
Name A Kind Of Cookie People Love To Dunk In Milk,Chocolate Chip,54.0,Oreo,42.0,Oatmeal,5,,,,,,,,
Name A Night Of The Week When People Stay Up Later Than Usual,Friday,52.0,Saturday,43.0,Sunday,3,,,,,,,,
If There Was An Award For “Loudest In The Zoo” Which Animal Would Win It?,Lion,41.0,Elephant,34.0,Monkey,19,,,,,,,,
On A Scale From 1-10 How Good Are You At Keeping A Secret?,10,31.0,5,28.0,8,21.0,9,18.0,,,,,,
Name The Time Of Night When Its Too Late To Call Someones House.,10,46.0,12,22.0,11,18.0,9,6.0,,,,,,
Name An Age That People Worry About Turning,40,42.0,50,31.0,30,23.0,60,3.0,,,,,,
Tell Me A Good Score When Playing 18 Holes Of Golf.,72,40.0,65,27.0,80,20.0,66,9.0,,,,,,
Name Something That Can Be Spoiled,Milk,56.0,Food,17.0,Kids,13.0,A Surprise,5.0,,,,,,
What Reason Would Most People Give For Why They Drink Coffee?,Stay Awake,45.0,Like The Taste,24.0,Energy,12.0,Addicted,9.0,,,,,,
Name A Profession Where You May Receive Lots Of Mail From Strangers.,Celebrity,51.0,Politician,36.0,Customer Service,7.0,Advice Columnist,5.0,,,,,,
Name Something You Hope To Have Your Seat Near While Riding In A Plane,Window,61.0,Bathroom,20.0,Exit,12.0,Aisle,6.0,,,,,,
Tell Me Something You Avoid When You Are Sick,Other People,34.0,Work/ School,29.0,Eating,25.0,Alcohol,5.0,,,,,,
Whats Something You Drink To Make You Warmer?,Coffee,41.0,Hot Chocolate,36.0,Tea,16.0,Alcohol,5.0,,,,,,
Name A Drink You Get At A Cafe That Most People Cant Make At Home,Latte,39.0,Cappuccino,29.0,Mocha,12.0,Americano,7.0,,,,,,
Name A Public Place Where It Is Okay To Yell,Park,46.0,Concert,19.0,Sports Event,17.0,Amusement Park,5.0,,,,,,
Name A Physical Characteristic That Aliens Are Said To Have,Wide Eyes,48.0,Big Head,25.0,Green Skin,18.0,Antennae,7.0,,,,,,
What Might A Professional Athlete Do Just After A Sports Game To Avoid Getting Sore Muscles?,Stretch,48.0,Get A Massage,19.0,Soak In Hot Tub,8.0,Apply Ice,7.0,,,,,,
What Might A Woman Do On A First Date To Make You Suspect He Was An Undercover Cop?,Ask Many Questions,49.0,Carries A Gun,29.0,Wears A Badge,10.0,Ask For ID,6.0,,,,,,
Name Something A Vacation Brochure Tells You About A Destination,Weather,33.0,Prices,26.0,Where To Stay,25.0,Attractions,5.0,,,,,,
Name An Occasion Where Itd Be Embarrassing To Show Up Empty Handed.,Wedding,46.0,Birthday,41.0,Christmas,7.0,Baby Shower,5.0,,,,,,
Name A Reason Why A College Football Player Might Get Kicked Off His Team.,Steroids,55.0,Fighting,19.0,Bad Attitude,9.0,Bad Grades,6.0,,,,,,
In A Scary Movie Name Something Specific That Causes A Character To Scream,Monster,38.0,Weapon,28.0,Ghost,21.0,Bad Guy,4.0,,,,,,
We Asked 100 Women: What Might You Get 2 Tickets For In Order To Entice Your Crush Into A Date?,Rock Concert,45.0,Sports Game,29.0,Opera,9.0,Ballet,6.0,,,,,,
Name A Job Where You Must Keep A Certain Haircut.,Police,37.0,Military,33.0,Model,14.0,Barber,13.0,,,,,,
Name A Sport That People Bet On,Football,55.0,Horse Racing,32.0,Boxing,6.0,Basketball,5.0,,,,,,
Name Something In A House That A Spoiled Kid Might Have Their Own Of.,TV,41.0,Computer,27.0,Phone,14.0,Bathroom,13.0,,,,,,
Name Something A Teenage Boy Might Ask His Dad For.,Car,61.0,Money,30.0,Advice,2.0,Bike,2.0,,,,,,
Name Something That Gets Rolled Out.,Red Carpet,40.0,Dough,35.0,Yoga Mat,10.0,Sleeping Bag,5.0,,,,,,
Which North Pole Resident Is Most Likely To Become Jealous Of Santas Power?,Elf,45.0,Jack Frost,31.0,Rudolph,14.0,Mrs. Claus,8.0,,,,,,
Where Do You Like To Go Barefoot?,Beach,43.0,Park,30.0,Shower,16.0,Bed,8.0,,,,,,
Name Something You Try To Prevent From Getting Flat,Tire,40.0,Hair,33.0,Soda,20.0,Beer,5.0,,,,,,
Whose Phone Number Might A Child Know By Heart?,Emergency Department,49.0,Home Phone,37.0,Grandparents,7.0,Best Friend,3.0,,,,,,
Name A Reason Why Workers Might Go On Strike.,Better Pay,69.0,Want Benefits,8.0,No Contract,6.0,Better Hours,3.0,,,,,,
Name Something Permanent On a Criminals Skin That Police Use To Be Sure Theyve Got Their Man.,Tattoo,41.0,Fingerprint,34.0,Scar,12.0,Birthmark,9.0,,,,,,
Name An Animal Associated With A Holiday,Reindeer,36.0,Turkey,28.0,Bunny,22.0,Black Cat,4.0,,,,,,
Name Something Kids Might Use to Help Them Count.,Fingers,57.0,Flash Cards,13.0,Calculator,13.0,Blocks,3.0,,,,,,
Name Something From The Laundry Thats Impossible To Fold Neatly.,Fitted Sheets,35.0,Socks,29.0,Underwear,15.0,Blouse,14.0,,,,,,
Name A U.S. City With Very Aggressive Drivers,New York,54.0,Los Angeles,22.0,Chicago,19.0,Boston,3.0,,,,,,
Name Something That Would Be Harder To Do If You Lived In Los Angeles,Drive,56.0,Ski,29.0,Sleep,7.0,Breathe,6.0,,,,,,
Name Something People Forget To Do When In a Hurry To Leave The House.,Lock The Door,43.0,Turn Off The Lights,30.0,Grab Keys,13.0,Brush Teeth,12.0,,,,,,
Instead Of Playing With Their Gift Which Packaging Item Might A Toddler Choose To Play With Instead.,Box,59.0,Wrapping Paper,17.0,Bow,12.0,Bubble Wrap,11.0,,,,,,
Name Something A Kid Might Want Help Doing On A Snowy Day.,Shoveling,44.0,Building A Snowman,27.0,Walking,13.0,Bundling Up,7.0,,,,,,
What Might Parents Be Caught Doing That Causes Their Kid To Bust Them For Doing Santas Job?,Set Gifts Under Tree,41.0,Wrapping Gifts,33.0,Eating Cookies,20.0,Buying/Hiding Gifts,3.0,,,,,,
Name A State That Youd Hate To Live In During Summer,Florida,41.0,Arizona,27.0,Texas,26.0,California,5.0,,,,,,
Name Something That Breaks Easily Without Its Case.,Glasses,40.0,CD,29.0,Musical Instrument,22.0,Camera,4.0,,,,,,
Name Something That Comes With A Hood,Coat,41.0,Car,37.0,Sweatshirt,18.0,Cape,3.0,,,,,,
Name Something A Parent Tries To Get Their Baby To Sleep.,Singing,51.0,Rocking,32.0,Warm Milk,9.0,Car Ride,6.0,,,,,,
Name Something Thats Legal For A Police Officer To Do But Not For Anyone Else,Speed,63.0,Arrest Someone,21.0,Run Red Lights,8.0,Carry/ Use Gun,7.0,,,,,,
Name Something That Often Looks Better In Advertised Pictures Than In Real Life.,Food,56.0,Clothes,20.0,People,14.0,Cars,8.0,,,,,,
Name An Animal Whose Print Looks Natural On Them But Gaudy When Your Neighbor Wears It,Leopard,50.0,Zebra,29.0,Tiger,13.0,Cheetah,7.0,,,,,,
Name Something You Only Consume When You Go To A Fast Food Restaurant.,French Fries,52.0,Burger,36.0,Milkshake,5.0,Chicken Nuggets,4.0,,,,,,
Name The Person Who You Most Try To Avoid Having An Argument With.,Partner,47.0,Parent,36.0,Boss,8.0,Child,3.0,,,,,,
Name A Safety Device That Older Cars Didnt Have,Air Bags,38.0,Seat Belts,34.0,Anti Lock Break,10.0,Child Locks,6.0,,,,,,
Name An Occupation That People Consider Caring,Nurse,44.0,Doctor,23.0,Teacher,13.0,Childcare Provider,12.0,,,,,,
Name A Place You Visit Where You Arent Allowed To Touch Anything.,Museum/Gallery,68.0,Zoo,20.0,Gentleman’s Club,5.0,China Shop,5.0,,,,,,
We Asked 100 Women: Name A Gift That Youd Always Be Happy To Get From Your Partner.,Flowers,43.0,Jewelry,29.0,Money,13.0,Chocolate,3.0,,,,,,
Name A Gift That Would Be Romantic To Get From Your Husband But Creepy To Get From Your Father-In_Law.,Lingerie,44.0,Flowers,29.0,Jewelry,23.0,Chocolates,3.0,,,,,,
What Is The Most Important Thing To Do When Planning A Valentines Day Date?,Get Flowers,44.0,Make Reservations,34.0,Buy Gift,14.0,Choose The Place,6.0,,,,,,
Tell Me A Way To Say Hi In Another Language,Hola,55.0,Bonjour,21.0,Aloha,13.0,Ciao,5.0,,,,,,
Name An Item You Associate With The Word Expensive,Car,53.0,Jewelry,26.0,House,13.0,Clothes,5.0,,,,,,
In Which Profession Might You Have A Large Assortment of Wigs?,Actor,42.0,Hair Stylist,36.0,Model,11.0,Clown,6.0,,,,,,
Name Something You Mix With Water Before Drinking,Kool Aid,39.0,Tea,32.0,Juice Concentrate,14.0,Coffee,11.0,,,,,,
Name Something Provided In Some Waiting Rooms To Help Pass The Time,Reading Material,49.0,TV,31.0,Music,10.0,Coffee,4.0,,,,,,
Name A Holiday That Most People Dont Get Off From Work.,President’s Day,40.0,Martin Luther King,26.0,Valentine’s Day,18.0,Columbus Day,11.0,,,,,,
How Do You Know That Youre Tuned Into A Country Radio Station?,Instruments,54.0,Announcer’s Voice,25.0,Sad Songs,12.0,Commercials,7.0,,,,,,
Name Something Some People Blast The Volume On,Stereo,52.0,TV,25.0,Headset,6.0,Computer,3.0,,,,,,
Name Something Of Dads That Kids Arent Allowed To Use,Car,34.0,Tools,31.0,Razor,29.0,Computer,4.0,,,,,,
Name Something A Losing Sports Team Does To The Winners To Show Good Sportsmanship,Shake Hands,44.0,High Five,36.0,Clap,10.0,Congratulate,8.0,,,,,,
Name A Place In The Car Where People Hide Their Valuables.,Glove Box,48.0,Trunk,34.0,Under Seat,13.0,Console,3.0,,,,,,
Name Something That Can Be Inconvenient To Do While Camping.,Use Bathroom,44.0,Bathe,25.0,Sleep,11.0,Cook,10.0,,,,,,
Name Something Parents Warn Their Children Not To Get Their Fingers Caught In.,Door,45.0,Fan,29.0,Outlet,13.0,Cookie Jar,6.0,,,,,,
Name Something A Fast Food Restaurant Offers As A Dessert,Ice Cream,53.0,Pie,31.0,Cake,9.0,Cookies,4.0,,,,,,
Instead Of Money What Might Santa Give His Reindeer As Pay?,Carrots,48.0,Presents,32.0,Deer Feed,10.0,Cookies,5.0,,,,,,
If A Person Is Raised On A Farm Name Something You Expect Them To Be Better At,Milking Cows,66.0,Riding Horses,18.0,Gardening,10.0,Cooking,4.0,,,,,,
Name Something A Radio DJ Might Accidentally Do If He Didnt Know He Was On The Air.,Swear,57.0,Burp,21.0,Lose Temper,6.0,Cough,5.0,,,,,,
Name Something That Chili May Come With Or Without.,Beans,57.0,Cheese,18.0,Meat,13.0,Crackers,10.0,,,,,,
Name A Word Or Phrase Used To Describe Milk Thats Past Its Expiration Date.,Sour,41.0,Old,29.0,Rotten,18.0,Curdled,8.0,,,,,,
Name Something You Close At Nighttime.,Bedroom Doors,33.0,Eyes,31.0,Window,12.0,Curtains,10.0,,,,,,
Name Something About A Person That Might Be Described As Funky,Hair,54.0,Smell,24.0,Clothes,15.0,Dancing,3.0,,,,,,
Name a Phrase That Begins With The Word “Double.”,Trouble,52.0,Jeopardy,24.0,Dutch,11.0,Dare,10.0,,,,,,
Name Some Activities People Do On Christmas That They Dont Do On Other Holidays?,Exchange Gifts,42.0,Sing,30.0,Go To Church,22.0,Decorate,4.0,,,,,,
Whats The Messiest Thing To Clean Up After The Christmas Holiday?,Kitchen,48.0,Tree,27.0,Wrapping Paper,15.0,Decorations,5.0,,,,,,
If You Could Only Pack A Small Overnight Bag What Specific Essentials Would Be In It?,Toothbrush/Paste,54.0,Underwear,32.0,Make up,7.0,Deoderant,5.0,,,,,,
Name A Diet Method That Doesnt Seem Very Reliable.,No Carb Diet,36.0,Fasting,28.0,Diet Pills,19.0,Diet Shakes,9.0,,,,,,
Name Something That Smells Really Bad When On Fire,Hair,47.0,Plastic,28.0,Rubber,12.0,Dinner,8.0,,,,,,
Name Something A Woman Calls A Partys Host To Ask,What Time,33.0,What To Wear,24.0,What To Bring,19.0,Directions,10.0,,,,,,
Where Do You Need To Be A Member In Order To Enter?,Gym,44.0,Country Club,36.0,Golf Course,15.0,Discount Grocery,3.0,,,,,,
What Activity Dont You Start Doing Until The Water Gets Warm?,Bathing,62.0,Swimming,18.0,Cooking,14.0,Dishes,6.0,,,,,,
Name An Animal That You Can Ride At The Circus,Elephant,71.0,Horse,18.0,Camel,5.0,Donkey,4.0,,,,,,
Other Than Looking Up Numbers Name Something A Phone Book Gets Used For,Find Addresses,50.0,Booster Seat,36.0,Maps,7.0,Door Stop,5.0,,,,,,
Name A Talk Show Host Who Many People Respect,Oprah Winfrey,56.0,Jay Leno,26.0,David Letterman,8.0,Dr Phil,5.0,,,,,,
Besides Dancing Name Something People Do On The Dance Floor,Talk,33.0,Sing,26.0,Kiss,24.0,Drink,14.0,,,,,,
If You Got To Be Fearless For One Day Name The First Thing Youd Try,Sky Diving,52.0,Fly,28.0,Bungee Jumping,10.0,Driving A Race Car,5.0,,,,,,
Name A Place That Closes Early For A Person To Run Errands After Work.,Bank,47.0,Post Office,33.0,Market,11.0,Dry Cleaners,7.0,,,,,,
Name A Part Of Your Body That Feels Stuffed UP When You Have A Cold.,Nose,55.0,Head,36.0,Chest,4.0,Ears,3.0,,,,,,
Name A Wedding Gift That The Bride And Groom Can Never Have Too Much Of,Money,43.0,Towels,23.0,Dishes,16.0,Eating Utensils,5.0,,,,,,
Name Something That Would Be Very Messy If You Put It In The Microwave Uncovered,Pasta,38.0,Soup,35.0,Chili,17.0,Eggs,8.0,,,,,,
Name A Reason Why A Woman Calls Her Husband While Hes Out.,Check On Him,34.0,Pick Something up,26.0,He’s Late,22.0,Emergency/Sick,7.0,,,,,,
Tell Me Something About Santa Clause That Would Give You The Creeps If Youd Never Heard Of Him.,Long Beard,52.0,Comes Down Chimney,28.0,Sitting On His Lap,9.0,Employs Elves,3.0,,,,,,
Why Might Someone Ride Their Bike To Work?,No Car,46.0,Exercise,23.0,Save Gas,20.0,Environment,7.0,,,,,,
Name Something Youd Need If You Wanted To Dress As A Vampire For Halloween.,Fangs,46.0,Cape,34.0,White Makeup,9.0,Fake Blood,4.0,,,,,,
Tell Me Something About Summer That You Look Forward To Most,Swimming/ Beach,39.0,Warm Weather,22.0,More Sun,20.0,Family Vacation,17.0,,,,,,
Name A Place Where School Children Often Go For Field Trips.,Zoo,47.0,Museum,40.0,Park,9.0,Farm,3.0,,,,,,
What Is The Most Fun Thing A Farmer Gets To Ride On?,Tractor,42.0,Horse,38.0,Bull,9.0,Farm Truck,4.0,,,,,,
If You Were Stranded With Other People On An Island Which Useful Occupations Would You Want Them To Have?,Doctor,45.0,Carpentry,23.0,Cook,19.0,Farmer,13.0,,,,,,
Name Something That Could Keep A Family Apart On Christmas,Weather,47.0,Distance,29.0,Work,17.0,Fighting,5.0,,,,,,
How Can You Tell That The Person In The Car Next To You Is Listening To Music?,Lips Moving,51.0,Head Bobbing,29.0,Hear It,11.0,Fingers Tapping,6.0,,,,,,
What Might A Restaurant Have Inside It That Would Cause It To Be Closed Down,Bugs,49.0,Rodents,36.0,Mold,6.0,Fire,5.0,,,,,,
Name a Hobby That Would Be Ironic For A Firefighter To Have.,Smoking,38.0,Camping/Campfire,27.0,Fireworks,15.0,Fire Eating,14.0,,,,,,
Name A Bad Job For Someone Whos Afraid Of Heights,Window Washer,39.0,Pilot/Flight Attendant,37.0,Construction Worker,16.0,Firefighter,6.0,,,,,,
Name Something People Might Stock Up On Before A Huge Snowstorm,Non Perishable Food,49.0,Water,27.0,Batteries,7.0,Firewood,3.0,,,,,,
From What Activity Is A Man Most Likely To Be Late Getting Home From?,Work,39.0,Go To Bar,25.0,Golf,23.0,Fishing,5.0,,,,,,
Name Something People Put In The Envelope With Their Holiday Cards.,Money,61.0,Pictures,30.0,Gift Cards,4.0,Form Letter,3.0,,,,,,
Name Something You Never Cook At Home But Order When Eating At The Restaurant,Lobster,33.0,Steak,32.0,Fish,19.0,French Fries,8.0,,,,,,
Name A Specific Junk Food That Youd Never Want To Give Up,Chocolate/ Candy,24.0,Chips,24.0,Pizza,16.0,French Fries,10.0,,,,,,
On A Road Trip Name Something That Might Keep You Awake,Radio,51.0,Traffic,24.0,Engine,15.0,Friend Snoring,8.0,,,,,,
Name A Kind Of Tree That Would Look Silly To Have As A Christmas Tree.,Oak Tree,48.0,Palm Tree,32.0,Maple Tree,13.0,Fruit Tree,5.0,,,,,,
What Might You See In Front Of The Neighbors House That Lets You Know Theyre Moving?,Moving Truck,40.0,For Sale Sign,28.0,Boxes,27.0,Furniture,3.0,,,,,,
Name A Place In The House Where Only A Real TV-Lover Would Put A Television,Bathroom,35.0,Bedroom,29.0,Kitchen,14.0,Garage,12.0,,,,,,
Name A Good Job To Have If You Want To Get A Nice Tan,Lifeguard,48.0,Tanning Salon,32.0,Construction,9.0,Gardener,8.0,,,,,,
Name A Word Or Phrase That Ends In – Phobia,Arachnophobia,37.0,Agoraphobia,23.0,Claustrophobia,22.0,Germophobia,12.0,,,,,,
What Might An Actor Do To Make You Not See Their Movies Anymore?,Die,33.0,Make A Flop,32.0,Retire,20.0,Get Arrested,8.0,,,,,,
